#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
0,6.7077344,8.51e-06,0,6
0,6.7351129,8.49e-06,0,6
0,6.7433265,0,4.59e-06,6
0,6.7570157,4.24e-06,0,6
0,6.7652293,0,4.58e-06,6
0,6.7816564,4.23e-06,0,6
0,6.8035592,4.23e-06,0,6
0,6.8062971,4.23e-06,0,6
0,6.8227242,8.44e-06,4.56e-06,6
0,6.825462,0,4.56e-06,6
0,6.8309377,4.22e-06,0,6
0,6.8391513,4.21e-06,0,6
0,6.844627,4.21e-06,0,6
0,6.8473648,4.21e-06,4.56e-06,6
0,6.8501027,0,4.56e-06,6
0,6.8528405,4.21e-06,4.56e-06,6
0,6.8555784,4.21e-06,0,6
0,6.8774812,4.20e-06,0,6
0,6.880219,4.20e-06,0,6
0,6.8884326,4.20e-06,0,6
0,6.899384,0,4.54e-06,6
0,6.9048597,4.19e-06,0,6
0,6.9075975,4.19e-06,4.53e-06,6
0,6.9103354,4.19e-06,0,6
0,6.9130732,4.19e-06,0,6
0,6.9322382,4.18e-06,0,6
0,6.9459274,0,4.51e-06,6
0,6.9650924,4.16e-06,0,6
0,6.9705681,0,8.98e-06,6
0,6.973306,4.16e-06,0,6
0,6.9760438,4.16e-06,0,6
0,6.9815195,0,4.49e-06,6
0,6.9924709,4.16e-06,0,6
0,6.9952088,4.16e-06,0,6
0,6.9979466,4.15e-06,0,6
0,7.0061602,4.16e-06,0,7
0,7.0171116,4.15e-06,0,7
0,7.0198494,0,.0000314,7
0,7.0225873,4.07e-06,0,7
0,7.0253251,4.07e-06,0,7
0,7.0390144,8.12e-06,4.38e-06,7
0,7.0499658,0,4.38e-06,7
0,7.0527036,4.06e-06,0,7
0,7.063655,4.06e-06,0,7
0,7.0663929,4.06e-06,4.38e-06,7
0,7.0746064,0,4.38e-06,7
0,7.0773443,4.05e-06,0,7
0,7.08282,4.05e-06,0,7
0,7.0855578,4.05e-06,0,7
0,7.0965092,0,.0000131,7
0,7.1047228,8.06e-06,0,7
0,7.1211499,0,4.34e-06,7
0,7.1238877,4.02e-06,0,7
0,7.1293634,4.02e-06,0,7
0,7.1321013,4.02e-06,0,7
0,7.1348392,4.02e-06,0,7
0,7.1430527,0,4.34e-06,7
0,7.1512663,4.01e-06,0,7
0,7.1594798,4.01e-06,0,7
0,7.1649555,8.01e-06,0,7
0,7.1704312,4.01e-06,0,7
0,7.1786448,4.00e-06,0,7
0,7.1813826,4.00e-06,0,7
0,7.1895962,0,4.31e-06,7
0,7.192334,3.99e-06,0,7
0,7.1950719,3.99e-06,0,7
0,7.1978097,0,4.30e-06,7
0,7.2005476,3.99e-06,0,7
0,7.2032854,3.99e-06,0,7
0,7.2060233,0,4.30e-06,7
0,7.2087611,7.97e-06,0,7
0,7.2142368,0,4.29e-06,7
0,7.2197125,3.98e-06,0,7
0,7.2388775,3.97e-06,0,7
0,7.2416153,3.97e-06,0,7
0,7.2525667,0,4.26e-06,7
0,7.2553046,3.95e-06,0,7
0,7.2607803,0,4.26e-06,7
0,7.2689938,3.95e-06,0,7
0,7.2772074,3.95e-06,0,7
0,7.2799452,3.95e-06,0,7
0,7.2854209,3.95e-06,0,7
0,7.2881588,3.95e-06,0,7
0,7.2908966,3.94e-06,0,7
0,7.2936345,3.94e-06,0,7
0,7.2963723,3.94e-06,0,7
0,7.3045859,3.94e-06,0,7
0,7.3100616,3.94e-06,0,7
0,7.3155373,0,4.24e-06,7
0,7.3237509,3.93e-06,0,7
0,7.3264887,3.93e-06,0,7
0,7.3292266,3.93e-06,0,7
0,7.340178,3.92e-06,0,7
0,7.3538672,0,4.39e-06,7
0,7.3593429,4.07e-06,0,7
0,7.3620808,8.13e-06,0,7
0,7.3702943,0,4.39e-06,7
0,7.3812457,4.06e-06,4.38e-06,7
0,7.3867214,4.06e-06,0,7
0,7.394935,4.06e-06,0,7
0,7.4086242,4.05e-06,0,7
0,7.4113621,4.05e-06,0,7
0,7.4387406,0,4.36e-06,7
0,7.449692,4.04e-06,0,7
0,7.4551677,4.04e-06,0,7
0,7.4743326,4.03e-06,0,7
0,7.4770705,4.03e-06,4.35e-06,7
0,7.4825462,0,4.35e-06,7
0,7.4852841,4.04e-06,0,7
0,7.4880219,4.03e-06,0,7
0,7.4907598,4.03e-06,0,7
0,7.4934976,4.03e-06,0,7
0,7.504449,0,4.35e-06,7
0,7.5071869,4.03e-06,0,7
0,7.5099247,0,4.34e-06,7
0,7.5154004,4.03e-06,0,7
0,7.5208761,0,4.33e-06,7
0,7.5318275,4.02e-06,0,7
0,7.5427789,4.01e-06,0,7
0,7.5509925,8.02e-06,0,7
0,7.5537303,8.02e-06,0,7
0,7.559206,4.01e-06,0,7
0,7.5646817,4.01e-06,0,7
0,7.5701574,4.01e-06,0,7
0,7.578371,0,4.32e-06,7
0,7.5975359,4.00e-06,0,7
0,7.6002738,8.01e-06,0,7
0,7.6057495,0,4.31e-06,7
0,7.6084873,4.00e-06,0,7
0,7.6276523,4.00e-06,0,7
0,7.633128,4.00e-06,0,7
0,7.6358658,4.00e-06,4.30e-06,7
0,7.6413415,4.00e-06,0,7
0,7.6440794,4.00e-06,0,7
0,7.6550308,3.99e-06,0,7
0,7.6577687,3.99e-06,0,7
0,7.6741958,0,4.29e-06,7
0,7.6796715,7.98e-06,0,7
0,7.687885,3.99e-06,0,7
0,7.6906229,0,4.28e-06,7
0,7.6988364,3.98e-06,0,7
0,7.7097878,3.98e-06,0,7
0,7.7152635,3.98e-06,0,7
0,7.7207392,0,4.27e-06,7
0,7.7234771,3.98e-06,0,7
0,7.7262149,0,4.27e-06,7
0,7.7371663,3.97e-06,0,7
0,7.742642,3.97e-06,0,7
0,7.7590691,3.96e-06,0,7
0,7.761807,0,4.26e-06,7
0,7.7672827,0,8.51e-06,7
0,7.7782341,3.96e-06,0,7
0,7.7809719,0,4.25e-06,7
0,7.7864476,7.92e-06,0,7
0,7.7919233,3.96e-06,0,7
0,7.7946612,7.92e-06,4.25e-06,7
0,7.797399,3.96e-06,0,7
0,7.8001369,3.96e-06,0,7
0,7.8028747,3.96e-06,0,7
0,7.8083504,0,4.24e-06,7
0,7.8110883,3.95e-06,0,7
0,7.8138261,0,4.24e-06,7
0,7.816564,3.95e-06,0,7
0,7.835729,7.90e-06,0,7
0,7.8412047,3.95e-06,0,7
0,7.8439425,7.89e-06,0,7
0,7.8521561,3.95e-06,4.23e-06,7
0,7.8548939,7.89e-06,0,7
0,7.8576318,0,4.23e-06,7
0,7.8631075,0,4.23e-06,7
0,7.8685832,0,4.23e-06,7
0,7.871321,3.94e-06,0,7
0,7.8767967,3.94e-06,0,7
0,7.8850103,0,4.22e-06,7
0,7.8877481,3.94e-06,0,7
0,7.8959617,3.94e-06,4.22e-06,7
0,7.9069131,0,4.22e-06,7
0,7.926078,3.92e-06,0,7
0,7.9288159,3.92e-06,0,7
0,7.9342916,0,4.20e-06,7
0,7.9397673,3.92e-06,0,7
0,7.9425051,7.83e-06,0,7
0,7.9534565,3.91e-06,0,7
0,7.9561944,3.90e-06,4.18e-06,7
0,7.9616701,3.90e-06,0,7
0,7.9644079,0,4.18e-06,7
0,7.9671458,0,4.18e-06,7
0,7.9780972,0,4.18e-06,7
0,7.980835,3.90e-06,0,7
0,7.9863107,3.90e-06,0,7
